# Final state angular momentum:   1
# Broadening parameter (in eV):    1.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00769135
   -9.95995996    0.00778507
   -9.91991992    0.00788093
   -9.87987988    0.00797897
   -9.83983984    0.00807925
   -9.79979980    0.00818183
   -9.75975976    0.00828677
   -9.71971972    0.00839412
   -9.67967968    0.00850395
   -9.63963964    0.00861633
   -9.59959960    0.00873131
   -9.55955956    0.00884898
   -9.51951952    0.00896939
   -9.47947948    0.00909263
   -9.43943944    0.00921877
   -9.39939940    0.00934789
   -9.35935936    0.00948008
   -9.31931932    0.00961542
   -9.27927928    0.00975400
   -9.23923924    0.00989591
   -9.19919920    0.01004124
   -9.15915916    0.01019011
   -9.11911912    0.01034261
   -9.07907908    0.01049884
   -9.03903904    0.01065892
   -8.99899900    0.01082297
   -8.95895896    0.01099110
   -8.91891892    0.01116344
   -8.87887888    0.01134011
   -8.83883884    0.01152125
   -8.79879880    0.01170700
   -8.75875876    0.01189750
   -8.71871872    0.01209289
   -8.67867868    0.01229333
   -8.63863864    0.01249899
   -8.59859860    0.01271002
   -8.55855856    0.01292660
   -8.51851852    0.01314890
   -8.47847848    0.01337712
   -8.43843844    0.01361143
   -8.39839840    0.01385206
   -8.35835836    0.01409919
   -8.31831832    0.01435305
   -8.27827828    0.01461386
   -8.23823824    0.01488186
   -8.19819820    0.01515729
   -8.15815816    0.01544041
   -8.11811812    0.01573147
   -8.07807808    0.01603075
   -8.03803804    0.01633854
   -7.99799800    0.01665513
   -7.95795796    0.01698084
   -7.91791792    0.01731597
   -7.87787788    0.01766086
   -7.83783784    0.01801586
   -7.79779780    0.01838131
   -7.75775776    0.01875759
   -7.71771772    0.01914508
   -7.67767768    0.01954417
   -7.63763764    0.01995526
   -7.59759760    0.02037877
   -7.55755756    0.02081513
   -7.51751752    0.02126478
   -7.47747748    0.02172817
   -7.43743744    0.02220576
   -7.39739740    0.02269802
   -7.35735736    0.02320544
   -7.31731732    0.02372851
   -7.27727728    0.02426773
   -7.23723724    0.02482360
   -7.19719720    0.02539664
   -7.15715716    0.02598737
   -7.11711712    0.02659629
   -7.07707708    0.02722395
   -7.03703704    0.02787084
   -6.99699700    0.02853749
   -6.95695696    0.02922440
   -6.91691692    0.02993208
   -6.87687688    0.03066101
   -6.83683684    0.03141165
   -6.79679680    0.03218445
   -6.75675676    0.03297983
   -6.71671672    0.03379817
   -6.67667668    0.03463981
   -6.63663664    0.03550507
   -6.59659660    0.03639417
   -6.55655656    0.03730732
   -6.51651652    0.03824461
   -6.47647648    0.03920607
   -6.43643644    0.04019165
   -6.39639640    0.04120118
   -6.35635636    0.04223436
   -6.31631632    0.04329079
   -6.27627628    0.04436989
   -6.23623624    0.04547093
   -6.19619620    0.04659301
   -6.15615616    0.04773504
   -6.11611612    0.04889569
   -6.07607608    0.05007342
   -6.03603604    0.05126646
   -5.99599600    0.05247275
   -5.95595596    0.05368999
   -5.91591592    0.05491558
   -5.87587588    0.05614664
   -5.83583584    0.05737999
   -5.79579580    0.05861216
   -5.75575576    0.05983940
   -5.71571572    0.06105768
   -5.67567568    0.06226271
   -5.63563564    0.06344998
   -5.59559560    0.06461477
   -5.55555556    0.06575221
   -5.51551552    0.06685729
   -5.47547548    0.06792497
   -5.43543544    0.06895018
   -5.39539540    0.06992792
   -5.35535536    0.07085331
   -5.31531532    0.07172165
   -5.27527528    0.07252850
   -5.23523524    0.07326975
   -5.19519520    0.07394165
   -5.15515516    0.07454088
   -5.11511512    0.07506460
   -5.07507508    0.07551048
   -5.03503504    0.07587674
   -4.99499499    0.07616212
   -4.95495495    0.07636595
   -4.91491491    0.07648808
   -4.87487487    0.07652892
   -4.83483483    0.07648935
   -4.79479479    0.07637078
   -4.75475475    0.07617501
