# Final state angular momentum:   1
# Broadening parameter (in eV):    1.000
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00536583
   -9.95995996    0.00543334
   -9.91991992    0.00550256
   -9.87987988    0.00557354
   -9.83983984    0.00564632
   -9.79979980    0.00572095
   -9.75975976    0.00579749
   -9.71971972    0.00587598
   -9.67967968    0.00595649
   -9.63963964    0.00603907
   -9.59959960    0.00612380
   -9.55955956    0.00621074
   -9.51951952    0.00629995
   -9.47947948    0.00639151
   -9.43943944    0.00648549
   -9.39939940    0.00658198
   -9.35935936    0.00668104
   -9.31931932    0.00678276
   -9.27927928    0.00688722
   -9.23923924    0.00699450
   -9.19919920    0.00710471
   -9.15915916    0.00721791
   -9.11911912    0.00733422
   -9.07907908    0.00745373
   -9.03903904    0.00757652
   -8.99899900    0.00770272
   -8.95895896    0.00783242
   -8.91891892    0.00796573
   -8.87887888    0.00810276
   -8.83883884    0.00824365
   -8.79879880    0.00838850
   -8.75875876    0.00853746
   -8.71871872    0.00869065
   -8.67867868    0.00884823
   -8.63863864    0.00901035
   -8.59859860    0.00917718
   -8.55855856    0.00934888
   -8.51851852    0.00952565
   -8.47847848    0.00970768
   -8.43843844    0.00989517
   -8.39839840    0.01008835
   -8.35835836    0.01028745
   -8.31831832    0.01049272
   -8.27827828    0.01070441
   -8.23823824    0.01092280
   -8.19819820    0.01114817
   -8.15815816    0.01138082
   -8.11811812    0.01162107
   -8.07807808    0.01186925
   -8.03803804    0.01212571
   -7.99799800    0.01239082
   -7.95795796    0.01266498
   -7.91791792    0.01294859
   -7.87787788    0.01324211
   -7.83783784    0.01354598
   -7.79779780    0.01386071
   -7.75775776    0.01418681
   -7.71771772    0.01452485
   -7.67767768    0.01487540
   -7.63763764    0.01523907
   -7.59759760    0.01561653
   -7.55755756    0.01600845
   -7.51751752    0.01641556
   -7.47747748    0.01683861
   -7.43743744    0.01727842
   -7.39739740    0.01773581
   -7.35735736    0.01821167
   -7.31731732    0.01870692
   -7.27727728    0.01922255
   -7.23723724    0.01975958
   -7.19719720    0.02031909
   -7.15715716    0.02090221
   -7.11711712    0.02151014
   -7.07707708    0.02214412
   -7.03703704    0.02280550
   -6.99699700    0.02349564
   -6.95695696    0.02421602
   -6.91691692    0.02496815
   -6.87687688    0.02575366
   -6.83683684    0.02657421
   -6.79679680    0.02743155
   -6.75675676    0.02832752
   -6.71671672    0.02926401
   -6.67667668    0.03024296
   -6.63663664    0.03126642
   -6.59659660    0.03233644
   -6.55655656    0.03345515
   -6.51651652    0.03462470
   -6.47647648    0.03584729
   -6.43643644    0.03712511
   -6.39639640    0.03846036
   -6.35635636    0.03985522
   -6.31631632    0.04131183
   -6.27627628    0.04283226
   -6.23623624    0.04441852
   -6.19619620    0.04607246
   -6.15615616    0.04779576
   -6.11611612    0.04958989
   -6.07607608    0.05145600
   -6.03603604    0.05339488
   -5.99599600    0.05540683
   -5.95595596    0.05749153
   -5.91591592    0.05964795
   -5.87587588    0.06187414
   -5.83583584    0.06416709
   -5.79579580    0.06652252
   -5.75575576    0.06893472
   -5.71571572    0.07139633
   -5.67567568    0.07389818
   -5.63563564    0.07642917
   -5.59559560    0.07897613
   -5.55555556    0.08152379
   -5.51551552    0.08405485
   -5.47547548    0.08655006
   -5.43543544    0.08898851
   -5.39539540    0.09134797
   -5.35535536    0.09360534
   -5.31531532    0.09573730
   -5.27527528    0.09772090
   -5.23523524    0.09953434
   -5.19519520    0.10115771
   -5.15515516    0.10257367
   -5.11511512    0.10376804
   -5.07507508    0.10473036
   -5.03503504    0.10545406
   -4.99499499    0.10593667
   -4.95495495    0.10617961
   -4.91491491    0.10618795
   -4.87487487    0.10596988
   -4.83483483    0.10553620
   -4.79479479    0.10489961
   -4.75475475    0.10407413
   -4.71471471    0.10307450
   -4.67467467    0.10191567
   -4.63463463    0.10061246
   -4.59459459    0.09917925
   -4.55455455    0.09762983
   -4.51451451    0.09597740
   -4.47447447    0.09423451
   -4.43443443    0.09241315
   -4.39439439    0.09052484
   -4.35435435    0.08858059
   -4.31431431    0.08659106
   -4.27427427    0.08456644
   -4.23423423    0.08251652
   -4.19419419    0.08045061
   -4.15415415    0.07837748
   -4.11411411    0.07630531
   -4.07407407    0.07424168
   -4.03403403    0.07219352
   -3.99399399    0.07016710
   -3.95395395    0.06816806
   -3.91391391    0.06620146
   -3.87387387    0.06427176
   -3.83383383    0.06238294
   -3.79379379    0.06053848
   -3.75375375    0.05874144
   -3.71371371    0.05699448
   -3.67367367    0.05529988
   -3.63363363    0.05365955
   -3.59359359    0.05207509
   -3.55355355    0.05054774
   -3.51351351    0.04907841
   -3.47347347    0.04766772
   -3.43343343    0.04631599
   -3.39339339    0.04502324
   -3.35335335    0.04378926
