# Final state angular momentum:   1
# Broadening parameter (in eV):    1.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.02375795
   -9.95995996    0.02370390
   -9.91991992    0.02365514
   -9.87987988    0.02361179
   -9.83983984    0.02357391
   -9.79979980    0.02354152
   -9.75975976    0.02351459
   -9.71971972    0.02349304
   -9.67967968    0.02347676
   -9.63963964    0.02346562
   -9.59959960    0.02345943
   -9.55955956    0.02345800
   -9.51951952    0.02346111
   -9.47947948    0.02346852
   -9.43943944    0.02347999
   -9.39939940    0.02349525
   -9.35935936    0.02351405
   -9.31931932    0.02353612
   -9.27927928    0.02356121
   -9.23923924    0.02358910
   -9.19919920    0.02361956
   -9.15915916    0.02365241
   -9.11911912    0.02368749
   -9.07907908    0.02372469
   -9.03903904    0.02376394
   -8.99899900    0.02380522
   -8.95895896    0.02384856
   -8.91891892    0.02389407
   -8.87887888    0.02394188
   -8.83883884    0.02399222
   -8.79879880    0.02404533
   -8.75875876    0.02410154
   -8.71871872    0.02416123
   -8.67867868    0.02422479
   -8.63863864    0.02429269
   -8.59859860    0.02436539
   -8.55855856    0.02444341
   -8.51851852    0.02452724
   -8.47847848    0.02461739
   -8.43843844    0.02471438
   -8.39839840    0.02481869
   -8.35835836    0.02493077
   -8.31831832    0.02505106
   -8.27827828    0.02517992
   -8.23823824    0.02531768
   -8.19819820    0.02546461
   -8.15815816    0.02562091
   -8.11811812    0.02578671
   -8.07807808    0.02596204
   -8.03803804    0.02614689
   -7.99799800    0.02634112
   -7.95795796    0.02654453
   -7.91791792    0.02675681
   -7.87787788    0.02697757
   -7.83783784    0.02720633
   -7.79779780    0.02744248
   -7.75775776    0.02768537
   -7.71771772    0.02793421
   -7.67767768    0.02818814
   -7.63763764    0.02844624
   -7.59759760    0.02870746
   -7.55755756    0.02897072
   -7.51751752    0.02923486
   -7.47747748    0.02949865
   -7.43743744    0.02976083
   -7.39739740    0.03002009
   -7.35735736    0.03027512
   -7.31731732    0.03052457
   -7.27727728    0.03076711
   -7.23723724    0.03100145
   -7.19719720    0.03122631
   -7.15715716    0.03144048
   -7.11711712    0.03164282
   -7.07707708    0.03183230
   -7.03703704    0.03200797
   -6.99699700    0.03216904
   -6.95695696    0.03231482
   -6.91691692    0.03244480
   -6.87687688    0.03255863
   -6.83683684    0.03265612
   -6.79679680    0.03273726
