# Final state angular momentum:   1
# Broadening parameter (in eV):    1.000
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.01092943
   -9.95995996    0.01117112
   -9.91991992    0.01142037
   -9.87987988    0.01167747
   -9.83983984    0.01194271
   -9.79979980    0.01221645
   -9.75975976    0.01249906
   -9.71971972    0.01279098
   -9.67967968    0.01309263
   -9.63963964    0.01340448
   -9.59959960    0.01372701
   -9.55955956    0.01406069
   -9.51951952    0.01440600
   -9.47947948    0.01476337
   -9.43943944    0.01513322
   -9.39939940    0.01551591
   -9.35935936    0.01591176
   -9.31931932    0.01632100
   -9.27927928    0.01674379
   -9.23923924    0.01718019
   -9.19919920    0.01763018
   -9.15915916    0.01809358
   -9.11911912    0.01857011
   -9.07907908    0.01905931
   -9.03903904    0.01956057
   -8.99899900    0.02007307
   -8.95895896    0.02059576
   -8.91891892    0.02112736
   -8.87887888    0.02166633
   -8.83883884    0.02221083
   -8.79879880    0.02275876
   -8.75875876    0.02330771
   -8.71871872    0.02385505
   -8.67867868    0.02439791
   -8.63863864    0.02493326
   -8.59859860    0.02545802
   -8.55855856    0.02596912
   -8.51851852    0.02646363
   -8.47847848    0.02693890
   -8.43843844    0.02739270
   -8.39839840    0.02782330
   -8.35835836    0.02822964
   -8.31831832    0.02861137
   -8.27827828    0.02896894
   -8.23823824    0.02930361
   -8.19819820    0.02961743
   -8.15815816    0.02991320
   -8.11811812    0.03019438
   -8.07807808    0.03046497
   -8.03803804    0.03072940
   -7.99799800    0.03099241
   -7.95795796    0.03125888
   -7.91791792    0.03153375
   -7.87787788    0.03182187
   -7.83783784    0.03212794
   -7.79779780    0.03245641
   -7.75775776    0.03281145
   -7.71771772    0.03319686
   -7.67767768    0.03361609
   -7.63763764    0.03407217
   -7.59759760    0.03456776
   -7.55755756    0.03510506
   -7.51751752    0.03568589
   -7.47747748    0.03631161
   -7.43743744    0.03698314
   -7.39739740    0.03770094
   -7.35735736    0.03846499
   -7.31731732    0.03927479
   -7.27727728    0.04012928
   -7.23723724    0.04102687
   -7.19719720    0.04196540
   -7.15715716    0.04294210
   -7.11711712    0.04395359
   -7.07707708    0.04499585
   -7.03703704    0.04606423
   -6.99699700    0.04715350
   -6.95695696    0.04825780
   -6.91691692    0.04937075
   -6.87687688    0.05048549
   -6.83683684    0.05159477
   -6.79679680    0.05269106
   -6.75675676    0.05376667
   -6.71671672    0.05481394
   -6.67667668    0.05582537
   -6.63663664    0.05679387
   -6.59659660    0.05771295
   -6.55655656    0.05857693
   -6.51651652    0.05938119
   -6.47647648    0.06012233
   -6.43643644    0.06079835
   -6.39639640    0.06140874
   -6.35635636    0.06195450
   -6.31631632    0.06243816
   -6.27627628    0.06286358
   -6.23623624    0.06323583
   -6.19619620    0.06356088
   -6.15615616    0.06384528
   -6.11611612    0.06409586
   -6.07607608    0.06431933
   -6.03603604    0.06452194
   -5.99599600    0.06470918
   -5.95595596    0.06488548
   -5.91591592    0.06505402
   -5.87587588    0.06521660
   -5.83583584    0.06537353
   -5.79579580    0.06552369
   -5.75575576    0.06566460
   -5.71571572    0.06579259
   -5.67567568    0.06590304
   -5.63563564    0.06599071
   -5.59559560    0.06605001
   -5.55555556    0.06607544
   -5.51551552    0.06606194
   -5.47547548    0.06600523
   -5.43543544    0.06590213
   -5.39539540    0.06575081
   -5.35535536    0.06555095
   -5.31531532    0.06530383
   -5.27527528    0.06501224
   -5.23523524    0.06468045
   -5.19519520    0.06431393
   -5.15515516    0.06391916
   -5.11511512    0.06350327
   -5.07507508    0.06307378
   -5.03503504    0.06263826
   -4.99499499    0.06220406
   -4.95495495    0.06177807
   -4.91491491    0.06136649
   -4.87487487    0.06097473
   -4.83483483    0.06060726
   -4.79479479    0.06026762
   -4.75475475    0.05995834
   -4.71471471    0.05968102
   -4.67467467    0.05943631
   -4.63463463    0.05922403
   -4.59459459    0.05904319
   -4.55455455    0.05889206
   -4.51451451    0.05876826
   -4.47447447    0.05866877
   -4.43443443    0.05859003
   -4.39439439    0.05852802
   -4.35435435    0.05847829
   -4.31431431    0.05843608
   -4.27427427    0.05839644
   -4.23423423    0.05835438
   -4.19419419    0.05830499
   -4.15415415    0.05824365
   -4.11411411    0.05816621
   -4.07407407    0.05806915
   -4.03403403    0.05794976
   -3.99399399    0.05780625
   -3.95395395    0.05763784
   -3.91391391    0.05744475
   -3.87387387    0.05722818
   -3.83383383    0.05699019
   -3.79379379    0.05673354
   -3.75375375    0.05646150
   -3.71371371    0.05617760
   -3.67367367    0.05588541
   -3.63363363    0.05558831
   -3.59359359    0.05528924
   -3.55355355    0.05499058
   -3.51351351    0.05469398
   -3.47347347    0.05440029
   -3.43343343    0.05410955
   -3.39339339    0.05382100
   -3.35335335    0.05353314
   -3.31331331    0.05324389
   -3.27327327    0.05295070
   -3.23323323    0.05265074
   -3.19319319    0.05234107
   -3.15315315    0.05201880
   -3.11311311    0.05168126
   -3.07307307    0.05132610
   -3.03303303    0.05095138
   -2.99299299    0.05055558
   -2.95295295    0.05013767
   -2.91291291    0.04969699
   -2.87287287    0.04923325
   -2.83283283    0.04874645
   -2.79279279    0.04823678
   -2.75275275    0.04770460
   -2.71271271    0.04715036
   -2.67267267    0.04657463
   -2.63263263    0.04597806
   -2.59259259    0.04536148
   -2.55255255    0.04472589
   -2.51251251    0.04407254
   -2.47247247    0.04340299
   -2.43243243    0.04271916
   -2.39239239    0.04202332
   -2.35235235    0.04131812
   -2.31231231    0.04060655
   -2.27227227    0.03989187
   -2.23223223    0.03917759
   -2.19219219    0.03846732
   -2.15215215    0.03776473
   -2.11211211    0.03707343
   -2.07207207    0.03639694
   -2.03203203    0.03573853
   -1.99199199    0.03510126
   -1.95195195    0.03448788
   -1.91191191    0.03390082
   -1.87187187    0.03334219
   -1.83183183    0.03281375
   -1.79179179    0.03231695
   -1.75175175    0.03185295
   -1.71171171    0.03142260
   -1.67167167    0.03102651
   -1.63163163    0.03066505
   -1.59159159    0.03033837
   -1.55155155    0.03004647
   -1.51151151    0.02978915
   -1.47147147    0.02956610
   -1.43143143    0.02937687
   -1.39139139    0.02922094
   -1.35135135    0.02909768
   -1.31131131    0.02900643
   -1.27127127    0.02894647
   -1.23123123    0.02891707
   -1.19119119    0.02891754
   -1.15115115    0.02894718
   -1.11111111    0.02900537
   -1.07107107    0.02909158
   -1.03103103    0.02920539
   -0.99099099    0.02934648
   -0.95095095    0.02951472
   -0.91091091    0.02971008
   -0.87087087    0.02993274
   -0.83083083    0.03018296
   -0.79079079    0.03046116
   -0.75075075    0.03076784
   -0.71071071    0.03110354
   -0.67067067    0.03146879
   -0.63063063    0.03186408
   -0.59059059    0.03228975
   -0.55055055    0.03274598
   -0.51051051    0.03323268
   -0.47047047    0.03374942
   -0.43043043    0.03429540
   -0.39039039    0.03486935
   -0.35035035    0.03546949
   -0.31031031    0.03609348
