# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00010891
   -9.79899497    0.00010970
   -9.59798995    0.00011050
   -9.39698492    0.00011131
   -9.19597990    0.00011213
   -8.99497487    0.00011296
   -8.79396985    0.00011380
   -8.59296482    0.00011465
   -8.39195980    0.00011550
   -8.19095477    0.00011637
   -7.98994975    0.00011725
   -7.78894472    0.00011813
   -7.58793970    0.00011903
   -7.38693467    0.00011994
   -7.18592965    0.00012086
   -6.98492462    0.00012179
   -6.78391960    0.00012273
   -6.58291457    0.00012368
   -6.38190955    0.00012464
   -6.18090452    0.00012561
   -5.97989950    0.00012660
   -5.77889447    0.00012760
   -5.57788945    0.00012861
   -5.37688442    0.00012963
   -5.17587940    0.00013066
   -4.97487437    0.00013171
   -4.77386935    0.00013277
   -4.57286432    0.00013384
   -4.37185930    0.00013493
   -4.17085427    0.00013603
   -3.96984925    0.00013715
   -3.76884422    0.00013828
   -3.56783920    0.00013942
   -3.36683417    0.00014058
   -3.16582915    0.00014175
   -2.96482412    0.00014294
   -2.76381910    0.00014414
   -2.56281407    0.00014536
   -2.36180905    0.00014660
   -2.16080402    0.00014785
   -1.95979899    0.00014912
   -1.75879397    0.00015041
   -1.55778894    0.00015171
   -1.35678392    0.00015303
   -1.15577889    0.00015437
   -0.95477387    0.00015573
   -0.75376884    0.00015711
   -0.55276382    0.00015851
   -0.35175879    0.00015992
   -0.15075377    0.00016136
    0.05025126    0.00016282
    0.25125628    0.00016429
    0.45226131    0.00016579
    0.65326633    0.00016731
    0.85427136    0.00016886
    1.05527638    0.00017042
    1.25628141    0.00017201
    1.45728643    0.00017363
    1.65829146    0.00017526
    1.85929648    0.00017693
    2.06030151    0.00017861
    2.26130653    0.00018033
    2.46231156    0.00018207
    2.66331658    0.00018383
    2.86432161    0.00018563
    3.06532663    0.00018745
    3.26633166    0.00018930
    3.46733668    0.00019118
    3.66834171    0.00019310
    3.86934673    0.00019504
    4.07035176    0.00019701
    4.27135678    0.00019902
    4.47236181    0.00020106
    4.67336683    0.00020314
    4.87437186    0.00020525
    5.07537688    0.00020740
    5.27638191    0.00020958
    5.47738693    0.00021180
    5.67839196    0.00021406
    5.87939698    0.00021636
    6.08040201    0.00021871
    6.28140704    0.00022109
    6.48241206    0.00022352
    6.68341709    0.00022599
    6.88442211    0.00022851
    7.08542714    0.00023107
    7.28643216    0.00023368
    7.48743719    0.00023634
    7.68844221    0.00023906
    7.88944724    0.00024182
    8.09045226    0.00024464
    8.29145729    0.00024751
    8.49246231    0.00025045
    8.69346734    0.00025344
    8.89447236    0.00025650
    9.09547739    0.00025962
    9.29648241    0.00026280
    9.49748744    0.00026606
    9.69849246    0.00026938
    9.89949749    0.00027278
   10.10050251    0.00027626
   10.30150754    0.00027981
   10.50251256    0.00028345
   10.70351759    0.00028716
   10.90452261    0.00029098
   11.10552764    0.00029488
   11.30653266    0.00029888
   11.50753769    0.00030298
   11.70854271    0.00030718
   11.90954774    0.00031150
   12.11055276    0.00031595
   12.31155779    0.00032052
   12.51256281    0.00032522
   12.71356784    0.00033004
   12.91457286    0.00033498
   13.11557789    0.00034005
   13.31658291    0.00034530
   13.51758794    0.00035072
   13.71859296    0.00035633
   13.91959799    0.00036207
   14.12060302    0.00036797
   14.32160804    0.00037407
   14.52261307    0.00038044
   14.72361809    0.00038713
   14.92462312    0.00039412
   15.12562814    0.00040137
   15.32663317    0.00040888
   15.52763819    0.00041673
   15.72864322    0.00042506
   15.92964824    0.00043398
   16.13065327    0.00044345
   16.33165829    0.00045329
   16.53266332    0.00046331
   16.73366834    0.00047372
   16.93467337    0.00048500
   17.13567839    0.00049756
   17.33668342    0.00051146
   17.53768844    0.00052621
   17.73869347    0.00054113
   17.93969849    0.00055627
   18.14070352    0.00057276
   18.34170854    0.00059168
   18.54271357    0.00061281
   18.74371859    0.00063412
   18.94472362    0.00065313
   19.14572864    0.00067006
   19.34673367    0.00068823
   19.54773869    0.00071083
   19.74874372    0.00073870
   19.94974874    0.00076960
   20.15075377    0.00079939
   20.35175879    0.00082654
   20.55276382    0.00085496
   20.75376884    0.00088968
   20.95477387    0.00093092
   21.15577889    0.00097200
   21.35678392    0.00100382
   21.55778894    0.00102564
   21.75879397    0.00104742
   21.95979899    0.00107991
   22.16080402    0.00112787
   22.36180905    0.00118839
   22.56281407    0.00125061
   22.76381910    0.00130200
   22.96482412    0.00134284
   23.16582915    0.00138791
   23.36683417    0.00145126
   23.56783920    0.00153482
   23.76884422    0.00162534
   23.96984925    0.00170218
   24.17085427    0.00176024
   24.37185930    0.00182003
   24.57286432    0.00190728
   24.77386935    0.00203328
   24.97487437    0.00218757
   25.17587940    0.00233841
   25.37688442    0.00245720
   25.57788945    0.00255648
   25.77889447    0.00268145
   25.97989950    0.00286561
   26.18090452    0.00310306
   26.38190955    0.00334078
   26.58291457    0.00350967
   26.78391960    0.00360276
   26.98492462    0.00369526
   27.18592965    0.00387322
   27.38693467    0.00418344
   27.58793970    0.00462291
   27.78894472    0.00512218
   27.98994975    0.00555047
   28.19095477    0.00582472
   28.39195980    0.00602548
   28.59296482    0.00631183
   28.79396985    0.00675279
   28.99497487    0.00725003
   29.19597990    0.00758567
   29.39698492    0.00764088
   29.59798995    0.00755991
   29.79899497    0.00759446
   30.00000000    0.00789896
