# Final state angular momentum:   1
# Broadening parameter (in eV):    1.000
# Absorbing atom type (xiabs):   2
# Energy (eV)   sigma
  -10.00000000    0.00010508
   -9.95995996    0.00010522
   -9.91991992    0.00010535
   -9.87987988    0.00010549
   -9.83983984    0.00010563
   -9.79979980    0.00010576
   -9.75975976    0.00010590
   -9.71971972    0.00010604
   -9.67967968    0.00010618
   -9.63963964    0.00010631
   -9.59959960    0.00010645
   -9.55955956    0.00010659
   -9.51951952    0.00010673
   -9.47947948    0.00010687
   -9.43943944    0.00010701
   -9.39939940    0.00010715
   -9.35935936    0.00010729
   -9.31931932    0.00010743
   -9.27927928    0.00010757
   -9.23923924    0.00010771
   -9.19919920    0.00010785
   -9.15915916    0.00010799
   -9.11911912    0.00010813
   -9.07907908    0.00010828
   -9.03903904    0.00010842
   -8.99899900    0.00010856
   -8.95895896    0.00010870
   -8.91891892    0.00010885
   -8.87887888    0.00010899
   -8.83883884    0.00010913
   -8.79879880    0.00010928
   -8.75875876    0.00010942
   -8.71871872    0.00010957
   -8.67867868    0.00010971
   -8.63863864    0.00010986
   -8.59859860    0.00011000
   -8.55855856    0.00011015
   -8.51851852    0.00011029
   -8.47847848    0.00011044
   -8.43843844    0.00011059
   -8.39839840    0.00011073
   -8.35835836    0.00011088
   -8.31831832    0.00011103
   -8.27827828    0.00011118
   -8.23823824    0.00011133
   -8.19819820    0.00011147
   -8.15815816    0.00011162
   -8.11811812    0.00011177
   -8.07807808    0.00011192
   -8.03803804    0.00011207
   -7.99799800    0.00011222
   -7.95795796    0.00011237
   -7.91791792    0.00011252
   -7.87787788    0.00011267
   -7.83783784    0.00011283
   -7.79779780    0.00011298
   -7.75775776    0.00011313
   -7.71771772    0.00011328
   -7.67767768    0.00011343
   -7.63763764    0.00011359
   -7.59759760    0.00011374
   -7.55755756    0.00011389
   -7.51751752    0.00011405
   -7.47747748    0.00011420
   -7.43743744    0.00011436
   -7.39739740    0.00011451
   -7.35735736    0.00011467
   -7.31731732    0.00011482
   -7.27727728    0.00011498
   -7.23723724    0.00011513
   -7.19719720    0.00011529
   -7.15715716    0.00011545
   -7.11711712    0.00011560
   -7.07707708    0.00011576
   -7.03703704    0.00011592
   -6.99699700    0.00011607
   -6.95695696    0.00011623
   -6.91691692    0.00011639
   -6.87687688    0.00011655
   -6.83683684    0.00011671
   -6.79679680    0.00011687
   -6.75675676    0.00011703
   -6.71671672    0.00011719
   -6.67667668    0.00011735
   -6.63663664    0.00011751
   -6.59659660    0.00011767
   -6.55655656    0.00011783
   -6.51651652    0.00011799
   -6.47647648    0.00011815
   -6.43643644    0.00011832
   -6.39639640    0.00011848
   -6.35635636    0.00011864
   -6.31631632    0.00011881
   -6.27627628    0.00011897
   -6.23623624    0.00011913
   -6.19619620    0.00011930
   -6.15615616    0.00011946
   -6.11611612    0.00011963
   -6.07607608    0.00011979
   -6.03603604    0.00011996
   -5.99599600    0.00012013
   -5.95595596    0.00012029
   -5.91591592    0.00012046
   -5.87587588    0.00012063
   -5.83583584    0.00012080
   -5.79579580    0.00012096
   -5.75575576    0.00012113
   -5.71571572    0.00012130
   -5.67567568    0.00012147
   -5.63563564    0.00012164
   -5.59559560    0.00012181
   -5.55555556    0.00012198
   -5.51551552    0.00012215
   -5.47547548    0.00012232
   -5.43543544    0.00012249
   -5.39539540    0.00012267
   -5.35535536    0.00012284
   -5.31531532    0.00012301
   -5.27527528    0.00012319
   -5.23523524    0.00012336
   -5.19519520    0.00012353
   -5.15515516    0.00012371
   -5.11511512    0.00012388
   -5.07507508    0.00012406
   -5.03503504    0.00012423
   -4.99499499    0.00012441
   -4.95495495    0.00012458
   -4.91491491    0.00012476
   -4.87487487    0.00012494
   -4.83483483    0.00012511
   -4.79479479    0.00012529
   -4.75475475    0.00012547
   -4.71471471    0.00012565
   -4.67467467    0.00012583
   -4.63463463    0.00012600
   -4.59459459    0.00012618
   -4.55455455    0.00012636
   -4.51451451    0.00012654
   -4.47447447    0.00012672
   -4.43443443    0.00012690
   -4.39439439    0.00012709
   -4.35435435    0.00012727
   -4.31431431    0.00012745
   -4.27427427    0.00012763
   -4.23423423    0.00012781
   -4.19419419    0.00012800
   -4.15415415    0.00012818
   -4.11411411    0.00012836
   -4.07407407    0.00012855
   -4.03403403    0.00012873
   -3.99399399    0.00012892
   -3.95395395    0.00012910
   -3.91391391    0.00012929
   -3.87387387    0.00012947
   -3.83383383    0.00012966
   -3.79379379    0.00012985
   -3.75375375    0.00013003
   -3.71371371    0.00013022
   -3.67367367    0.00013041
   -3.63363363    0.00013060
   -3.59359359    0.00013079
   -3.55355355    0.00013098
   -3.51351351    0.00013117
   -3.47347347    0.00013136
   -3.43343343    0.00013155
   -3.39339339    0.00013174
   -3.35335335    0.00013193
   -3.31331331    0.00013212
   -3.27327327    0.00013232
   -3.23323323    0.00013251
   -3.19319319    0.00013270
   -3.15315315    0.00013290
   -3.11311311    0.00013309
   -3.07307307    0.00013329
   -3.03303303    0.00013348
   -2.99299299    0.00013368
   -2.95295295    0.00013387
   -2.91291291    0.00013407
   -2.87287287    0.00013427
   -2.83283283    0.00013447
   -2.79279279    0.00013466
