# Final state angular momentum:   1
# Broadening parameter (in eV):    1.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.06124438
   -9.86622074    0.06288925
   -9.73244147    0.06451790
   -9.59866221    0.06611269
   -9.46488294    0.06765820
   -9.33110368    0.06914274
   -9.19732441    0.07055916
   -9.06354515    0.07190582
   -8.92976589    0.07318731
   -8.79598662    0.07441433
   -8.66220736    0.07560165
   -8.52842809    0.07676417
   -8.39464883    0.07791269
   -8.26086957    0.07905135
   -8.12709030    0.08017818
   -7.99331104    0.08128838
   -7.85953177    0.08237856
   -7.72575251    0.08345024
   -7.59197324    0.08451138
   -7.45819398    0.08557598
   -7.32441472    0.08666187
   -7.19063545    0.08778690
   -7.05685619    0.08896404
   -6.92307692    0.09019579
   -6.78929766    0.09146947
   -6.65551839    0.09275484
   -6.52173913    0.09400597
   -6.38795987    0.09516792
   -6.25418060    0.09618727
   -6.12040134    0.09702332
   -5.98662207    0.09765570
   -5.85284281    0.09808471
   -5.71906355    0.09832374
   -5.58528428    0.09838624
   -5.45150502    0.09827275
   -5.31772575    0.09796293
   -5.18394649    0.09741581
   -5.05016722    0.09657782
   -4.91638796    0.09539549
   -4.78260870    0.09382864
   -4.64882943    0.09186070
   -4.51505017    0.08950425
   -4.38127090    0.08680159
   -4.24749164    0.08382084
   -4.11371237    0.08064877
   -3.97993311    0.07738186
   -3.84615385    0.07411703
   -3.71237458    0.07094348
   -3.57859532    0.06793649
   -3.44481605    0.06515352
   -3.31103679    0.06263248
   -3.17725753    0.06039172
   -3.04347826    0.05843127
   -2.90969900    0.05673500
   -2.77591973    0.05527333
   -2.64214047    0.05400650
   -2.50836120    0.05288818
   -2.37458194    0.05186915
   -2.24080268    0.05090106
   -2.10702341    0.04994002
   -1.97324415    0.04895019
   -1.83946488    0.04790682
   -1.70568562    0.04679826
   -1.57190635    0.04562597
   -1.43812709    0.04440220
   -1.30434783    0.04314563
   -1.17056856    0.04187616
   -1.03678930    0.04061037
   -0.90301003    0.03935912
   -0.76923077    0.03812762
   -0.63545151    0.03691781
   -0.50167224    0.03573165
   -0.36789298    0.03457385
   -0.23411371    0.03345305
   -0.10033445    0.03238124
    0.03344482    0.03137187
    0.16722408    0.03043786
    0.30100334    0.02958988
    0.43478261    0.02883561
    0.56856187    0.02817965
    0.70234114    0.02762394
    0.83612040    0.02716845
    0.96989967    0.02681184
    1.10367893    0.02655214
    1.23745819    0.02638720
    1.37123746    0.02631509
    1.50501672    0.02633435
    1.63879599    0.02644418
    1.77257525    0.02664457
    1.90635452    0.02693638
    2.04013378    0.02732144
    2.17391304    0.02780256
    2.30769231    0.02838365
    2.44147157    0.02906971
    2.57525084    0.02986690
    2.70903010    0.03078257
    2.84280936    0.03182531
    2.97658863    0.03300485
    3.11036789    0.03433205
    3.24414716    0.03581869
    3.37792642    0.03747710
    3.51170569    0.03931972
    3.64548495    0.04135828
