# Final state angular momentum:   1
# Broadening parameter (in eV):    1.000
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.06353389
   -9.86622074    0.06574950
   -9.73244147    0.06793314
   -9.59866221    0.07001475
   -9.46488294    0.07196003
   -9.33110368    0.07375795
   -9.19732441    0.07539044
   -9.06354515    0.07682000
   -8.92976589    0.07802136
   -8.79598662    0.07903445
   -8.66220736    0.07997905
   -8.52842809    0.08100170
   -8.39464883    0.08219226
   -8.26086957    0.08353597
   -8.12709030    0.08493411
   -7.99331104    0.08627070
   -7.85953177    0.08747226
   -7.72575251    0.08852514
   -7.59197324    0.08946033
   -7.45819398    0.09033767
   -7.32441472    0.09124457
   -7.19063545    0.09229628
   -7.05685619    0.09362179
   -6.92307692    0.09533378
   -6.78929766    0.09748773
   -6.65551839    0.10003589
   -6.52173913    0.10279511
   -6.38795987    0.10546082
   -6.25418060    0.10768658
   -6.12040134    0.10921110
   -5.98662207    0.10997577
   -5.85284281    0.11016149
   -5.71906355    0.11010888
   -5.58528428    0.11015830
   -5.45150502    0.11049420
   -5.31772575    0.11106634
   -5.18394649    0.11161266
   -5.05016722    0.11176134
   -4.91638796    0.11115701
   -4.78260870    0.10955175
   -4.64882943    0.10683565
   -4.51505017    0.10302919
   -4.38127090    0.09826996
   -4.24749164    0.09279448
   -4.11371237    0.08690121
   -3.97993311    0.08090233
   -3.84615385    0.07508366
   -3.71237458    0.06967876
   -3.57859532    0.06485570
   -3.44481605    0.06071594
   -3.31103679    0.05730301
   -3.17725753    0.05461435
   -3.04347826    0.05261041
   -2.90969900    0.05121896
   -2.77591973    0.05033799
   -2.64214047    0.04984257
   -2.50836120    0.04959725
   -2.37458194    0.04946794
   -2.24080268    0.04932589
   -2.10702341    0.04904595
   -1.97324415    0.04851178
   -1.83946488    0.04763592
   -1.70568562    0.04638817
   -1.57190635    0.04481348
   -1.43812709    0.04302381
   -1.30434783    0.04116337
   -1.17056856    0.03936147
   -1.03678930    0.03769344
   -0.90301003    0.03616400
   -0.76923077    0.03471774
   -0.63545151    0.03327302
   -0.50167224    0.03176599
   -0.36789298    0.03018259
   -0.23411371    0.02856092
   -0.10033445    0.02696761
    0.03344482    0.02546847
    0.16722408    0.02411025
    0.30100334    0.02291676
    0.43478261    0.02189337
    0.56856187    0.02103384
    0.70234114    0.02032616
    0.83612040    0.01975648
    0.96989967    0.01931133
    1.10367893    0.01897874
    1.23745819    0.01874872
    1.37123746    0.01861331
    1.50501672    0.01856654
    1.63879599    0.01860428
    1.77257525    0.01872414
    1.90635452    0.01892536
    2.04013378    0.01920876
    2.17391304    0.01957673
    2.30769231    0.02003332
    2.44147157    0.02058430
    2.57525084    0.02123736
    2.70903010    0.02200237
    2.84280936    0.02289163
    2.97658863    0.02392031
    3.11036789    0.02510685
    3.24414716    0.02647340
    3.37792642    0.02804628
    3.51170569    0.02985609
    3.64548495    0.03193748
    3.77926421    0.03432795
    3.91304348    0.03706518
    4.04682274    0.04018231
    4.18060201    0.04370088
    4.31438127    0.04762233
    4.44816054    0.05191949
    4.58193980    0.05652978
    4.71571906    0.06135078
    4.84949833    0.06624201
    4.98327759    0.07104502
    5.11705686    0.07563320
    5.25083612    0.07997609
    5.38461538    0.08417228
    5.51839465    0.08841774
    5.65217391    0.09292961
    5.78595318    0.09787339
    5.91973244    0.10331898
    6.05351171    0.10921950
    6.18729097    0.11540261
    6.32107023    0.12158206
    6.45484950    0.12741844
    6.58862876    0.13264789
    6.72240803    0.13723330
    6.85618729    0.14142990
    6.98996656    0.14569046
    7.12374582    0.15044845
    7.25752508    0.15589273
    7.39130435    0.16183327
    7.52508361    0.16770962
    7.65886288    0.17275372
    7.79264214    0.17626380
    7.92642140    0.17786970
    8.06020067    0.17764282
    8.19397993    0.17599160
    8.32775920    0.17342317
    8.46153846    0.17031988
    8.59531773    0.16683735
    8.72909699    0.16293259
    8.86287625    0.15845741
    8.99665552    0.15325895
    9.13043478    0.14727422
    9.26421405    0.14060719
    9.39799331    0.13354499
    9.53177258    0.12648632
    9.66555184    0.11982087
    9.79933110    0.11383547
    9.93311037    0.10868930
   10.06688963    0.10444280
   10.20066890    0.10109920
   10.33444816    0.09863132
   10.46822742    0.09699060
   10.60200669    0.09610733
   10.73578595    0.09589427
   10.86956522    0.09626209
   11.00334448    0.09713835
   11.13712375    0.09846179
   11.27090301    0.10013488
   11.40468227    0.10196132
   11.53846154    0.10362817
   11.67224080    0.10477593
   11.80602007    0.10513535
   11.93979933    0.10464386
   12.07357860    0.10345669
   12.20735786    0.10185140
   12.34113712    0.10010141
   12.47491639    0.09839148
   12.60869565    0.09679374
   12.74247492    0.09528580
   12.87625418    0.09379251
   13.01003344    0.09224356
   13.14381271    0.09063089
   13.27759197    0.08903926
   13.41137124    0.08763561
   13.54515050    0.08662947
   13.67892977    0.08622444
   13.81270903    0.08657140
   13.94648829    0.08772394
   14.08026756    0.08959528
   14.21404682    0.09192244
   14.34782609    0.09425908
   14.48160535    0.09603069
   14.61538462    0.09667028
   14.74916388    0.09579543
   14.88294314    0.09333075
   15.01672241    0.08949648
   15.15050167    0.08467883
   15.28428094    0.07927825
   15.41806020    0.07362198
   15.55183946    0.06795528
   15.68561873    0.06246874
   15.81939799    0.05731649
   15.95317726    0.05261414
   16.08695652    0.04843101
   16.22073579    0.04479070
   16.35451505    0.04168130
   16.48829431    0.03906945
   16.62207358    0.03691296
   16.75585284    0.03516955
   16.88963211    0.03380197
   17.02341137    0.03278010
   17.15719064    0.03208100
   17.29096990    0.03168762
   17.42474916    0.03158640
   17.55852843    0.03176358
   17.69230769    0.03220010
   17.82608696    0.03286562
   17.95986622    0.03371414
   18.09364548    0.03468637
   18.22742475    0.03572391
   18.36120401    0.03679441
   18.49498328    0.03791526
   18.62876254    0.03915895
   18.76254181    0.04063492
   18.89632107    0.04245952
   19.03010033    0.04472902
   19.16387960    0.04749987
   19.29765886    0.05077280
   19.43143813    0.05447750
   19.56521739    0.05846330
   19.69899666    0.06250881
   19.83277592    0.06636028
   19.96655518    0.06978825
   20.10033445    0.07263432
   20.23411371    0.07482959
   20.36789298    0.07639179
   20.50167224    0.07740922
   20.63545151    0.07800790
   20.76923077    0.07831154
   20.90301003    0.07841881
   21.03678930    0.07840134
   21.17056856    0.07829893
   21.30434783    0.07810114
   21.43812709    0.07773857
   21.57190635    0.07710911
   21.70568562    0.07613316
   21.83946488    0.07480397
   21.97324415    0.07320640
   22.10702341    0.07150108
   22.24080268    0.06988334
   22.37458194    0.06852865
   22.50836120    0.06754197
   22.64214047    0.06693220
   22.77591973    0.06662410
   22.90969900    0.06650186
   23.04347826    0.06645871
   23.17725753    0.06641974
   23.31103679    0.06632660
   23.44481605    0.06611032
   23.57859532    0.06568982
   23.71237458    0.06500088
   23.84615385    0.06402159
   23.97993311    0.06276540
   24.11371237    0.06125413
   24.24749164    0.05950467
   24.38127090    0.05753989
   24.51505017    0.05540269
   24.64882943    0.05314898
   24.78260870    0.05082089
   24.91638796    0.04842599
   25.05016722    0.04594637
   25.18394649    0.04337463
   25.31772575    0.04074647
   25.45150502    0.03814253
   25.58528428    0.03566217
   25.71906355    0.03339399
   25.85284281    0.03140085
   25.98662207    0.02971841
   26.12040134    0.02835836
   26.25418060    0.02731004
   26.38795987    0.02653973
   26.52173913    0.02598887
   26.65551839    0.02557516
   26.78929766    0.02520140
   26.92307692    0.02477517
   27.05685619    0.02423443
   27.19063545    0.02356629
   27.32441472    0.02280707
   27.45819398    0.02202372
   27.59197324    0.02128906
   27.72575251    0.02066384
   27.85953177    0.02018997
   27.99331104    0.01989082
   28.12709030    0.01977176
   28.26086957    0.01981773
   28.39464883    0.01998837
   28.52842809    0.02021493
   28.66220736    0.02040542
   28.79598662    0.02046394
   28.92976589    0.02032179
   29.06354515    0.01996459
   29.19732441    0.01943671
   29.33110368    0.01881954
   29.46488294    0.01819888
   29.59866221    0.01763967
   29.73244147    0.01717570
   29.86622074    0.01681173
   30.00000000    0.01653309
