# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.06439365
   -9.86622074    0.06713785
   -9.73244147    0.06977997
   -9.59866221    0.07217200
   -9.46488294    0.07430782
   -9.33110368    0.07627864
   -9.19732441    0.07811096
   -9.06354515    0.07965100
   -8.92976589    0.08068078
   -8.79598662    0.08120159
   -8.66220736    0.08155836
   -8.52842809    0.08222802
   -8.39464883    0.08348240
   -8.26086957    0.08522342
   -8.12709030    0.08709055
   -7.99331104    0.08873138
   -7.85953177    0.09000036
   -7.72575251    0.09093862
   -7.59197324    0.09163699
   -7.45819398    0.09216979
   -7.32441472    0.09264692
   -7.19063545    0.09327273
   -7.05685619    0.09431989
   -6.92307692    0.09606665
   -6.78929766    0.09873537
   -6.65551839    0.10237534
   -6.52173913    0.10670864
   -6.38795987    0.11108259
   -6.25418060    0.11463371
   -6.12040134    0.11663632
   -5.98662207    0.11689398
   -5.85284281    0.11591718
   -5.71906355    0.11469178
   -5.58528428    0.11417778
   -5.45150502    0.11487296
   -5.31772575    0.11663731
   -5.18394649    0.11879516
   -5.05016722    0.12044482
   -4.91638796    0.12082281
   -4.78260870    0.11951323
   -4.64882943    0.11640319
   -4.51505017    0.11154944
   -4.38127090    0.10517395
   -4.24749164    0.09770579
   -4.11371237    0.08969151
   -3.97993311    0.08165505
   -3.84615385    0.07403699
   -3.71237458    0.06717382
   -3.57859532    0.06127677
   -3.44481605    0.05643828
   -3.31103679    0.05266698
   -3.17725753    0.04992328
   -3.04347826    0.04813773
   -2.90969900    0.04720687
   -2.77591973    0.04697759
   -2.64214047    0.04724801
   -2.50836120    0.04780349
   -2.37458194    0.04846055
   -2.24080268    0.04906487
   -2.10702341    0.04944461
   -1.97324415    0.04938691
   -1.83946488    0.04868732
   -1.70568562    0.04725049
   -1.57190635    0.04516518
   -1.43812709    0.04269485
   -1.30434783    0.04018383
   -1.17056856    0.03792796
   -1.03678930    0.03607737
   -0.90301003    0.03460316
   -0.76923077    0.03332214
   -0.63545151    0.03197955
   -0.50167224    0.03038080
   -0.36789298    0.02849785
   -0.23411371    0.02645974
   -0.10033445    0.02444836
    0.03344482    0.02260459
    0.16722408    0.02099893
    0.30100334    0.01964628
    0.43478261    0.01853085
    0.56856187    0.01762481
    0.70234114    0.01689865
    0.83612040    0.01632575
    0.96989967    0.01588386
    1.10367893    0.01555519
    1.23745819    0.01532591
    1.37123746    0.01518558
    1.50501672    0.01512661
    1.63879599    0.01514380
    1.77257525    0.01523399
    1.90635452    0.01539588
    2.04013378    0.01562984
    2.17391304    0.01593790
    2.30769231    0.01632378
    2.44147157    0.01679304
    2.57525084    0.01735326
    2.70903010    0.01801436
    2.84280936    0.01878911
    2.97658863    0.01969368
    3.11036789    0.02074844
    3.24414716    0.02197896
    3.37792642    0.02341717
    3.51170569    0.02510272
    3.64548495    0.02708407
    3.77926421    0.02941896
    3.91304348    0.03217289
    4.04682274    0.03541358
    4.18060201    0.03919951
    4.31438127    0.04356241
    4.44816054    0.04848934
    4.58193980    0.05391138
    4.71571906    0.05969090
    4.84949833    0.06558747
    4.98327759    0.07123746
    5.11705686    0.07625961
    5.25083612    0.08050349
    5.38461538    0.08421686
    5.51839465    0.08792475
    5.65217391    0.09215291
    5.78595318    0.09725576
    5.91973244    0.10338954
    6.05351171    0.11051936
    6.18729097    0.11838760
    6.32107023    0.12643857
    6.45484950    0.13381840
    6.58862876    0.13967997
    6.72240803    0.14376135
    6.85618729    0.14673839
    6.98996656    0.14994599
    7.12374582    0.15469276
    7.25752508    0.16165557
    7.39130435    0.17056278
    7.52508361    0.18016657
    7.65886288    0.18857300
    7.79264214    0.19398744
    7.92642140    0.19557096
    8.06020067    0.19378706
    8.19397993    0.18997195
    8.32775920    0.18552127
    8.46153846    0.18125074
    8.59531773    0.17724303
    8.72909699    0.17312011
    8.86287625    0.16836622
    8.99665552    0.16247076
    9.13043478    0.15506920
    9.26421405    0.14621077
    9.39799331    0.13649382
    9.53177258    0.12683091
    9.66555184    0.11802204
    9.79933110    0.11049474
    9.93311037    0.10433923
   10.06688963    0.09948988
   10.20066890    0.09586139
   10.33444816    0.09338378
   10.46822742    0.09198612
   10.60200669    0.09156588
   10.73578595    0.09196333
   10.86956522    0.09300384
   11.00334448    0.09461930
   11.13712375    0.09689868
   11.27090301    0.09992638
   11.40468227    0.10350377
   11.53846154    0.10700255
   11.67224080    0.10953145
   11.80602007    0.11037870
   11.93979933    0.10941605
   12.07357860    0.10713219
   12.20735786    0.10431078
   12.34113712    0.10162918
   12.47491639    0.09941984
   12.60869565    0.09767729
   12.74247492    0.09620164
   12.87625418    0.09471663
   13.01003344    0.09296057
   13.14381271    0.09081884
   13.27759197    0.08842381
   13.41137124    0.08612183
   13.54515050    0.08435296
   13.67892977    0.08354267
   13.81270903    0.08403605
   13.94648829    0.08604599
   14.08026756    0.08958076
   14.21404682    0.09433224
   14.34782609    0.09955506
   14.48160535    0.10406635
   14.61538462    0.10653893
   14.74916388    0.10606170
   14.88294314    0.10258353
   15.01672241    0.09683863
   15.15050167    0.08983553
   15.28428094    0.08236929
   15.41806020    0.07487322
   15.55183946    0.06756195
   15.68561873    0.06061788
   15.81939799    0.05424324
   15.95317726    0.04860212
   16.08695652    0.04376714
   16.22073579    0.03972158
   16.35451505    0.03639383
   16.48829431    0.03369232
   16.62207358    0.03152798
   16.75585284    0.02982544
   16.88963211    0.02852711
   17.02341137    0.02759300
   17.15719064    0.02699824
   17.29096990    0.02673010
   17.42474916    0.02678485
   17.55852843    0.02716304
   17.69230769    0.02786069
   17.82608696    0.02885393
   17.95986622    0.03007800
   18.09364548    0.03141237
   18.22742475    0.03269936
   18.36120401    0.03381725
   18.49498328    0.03477254
   18.62876254    0.03572594
   18.76254181    0.03692493
   18.89632107    0.03861370
   19.03010033    0.04098501
   19.16387960    0.04416917
   19.29765886    0.04822300
   19.43143813    0.05309384
   19.56521739    0.05856451
   19.69899666    0.06422859
   19.83277592    0.06956925
   19.96655518    0.07413720
   20.10033445    0.07768025
   20.23411371    0.08012762
   20.36789298    0.08155086
   20.50167224    0.08217546
   20.63545151    0.08231240
   20.76923077    0.08220366
   20.90301003    0.08197607
   21.03678930    0.08173380
   21.17056856    0.08159162
   21.30434783    0.08156318
   21.43812709    0.08146000
   21.57190635    0.08095800
   21.70568562    0.07979128
   21.83946488    0.07789917
   21.97324415    0.07544005
   22.10702341    0.07274005
   22.24080268    0.07022059
   22.37458194    0.06827591
   22.50836120    0.06713192
   22.64214047    0.06676850
   22.77591973    0.06694806
   22.90969900    0.06735055
   23.04347826    0.06775249
   23.17725753    0.06810756
   23.31103679    0.06844098
   23.44481605    0.06867552
   23.57859532    0.06860484
   23.71237458    0.06805525
   23.84615385    0.06702771
   23.97993311    0.06563999
   24.11371237    0.06396667
   24.24749164    0.06198647
   24.38127090    0.05967610
   24.51505017    0.05711339
   24.64882943    0.05446134
   24.78260870    0.05184444
   24.91638796    0.04923857
   25.05016722    0.04649163
   25.18394649    0.04347663
   25.31772575    0.04023311
   25.45150502    0.03695519
   25.58528428    0.03386628
   25.71906355    0.03112383
   25.85284281    0.02880934
   25.98662207    0.02695796
   26.12040134    0.02557937
   26.25418060    0.02466152
   26.38795987    0.02416489
   26.52173913    0.02400984
   26.65551839    0.02406181
   26.78929766    0.02413144
   26.92307692    0.02401399
   27.05685619    0.02356638
   27.19063545    0.02277320
   27.32441472    0.02174605
   27.45819398    0.02065641
   27.59197324    0.01965870
   27.72575251    0.01885399
   27.85953177    0.01829707
   27.99331104    0.01801800
   28.12709030    0.01803266
   28.26086957    0.01833661
   28.39464883    0.01888678
   28.52842809    0.01957825
   28.66220736    0.02023264
   28.79598662    0.02062866
   28.92976589    0.02059006
   29.06354515    0.02008162
   29.19732441    0.01922718
   29.33110368    0.01823359
   29.46488294    0.01729228
   29.59866221    0.01652334
   29.73244147    0.01596809
   29.86622074    0.01560664
   30.00000000    0.01538509
