{\rtf1\ansi\ansicpg1252\cocoartf2639
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fnil\fcharset0 Menlo-Regular;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\csgray\c0;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx560\tx1120\tx1680\tx2240\tx2800\tx3360\tx3920\tx4480\tx5040\tx5600\tx6160\tx6720\pardirnatural\partightenfactor0

\f0\fs22 \cf2 \CocoaLigature0 # Final state angular momentum:   1\
# Broadening parameter (in eV):    1.200\
# Absorbing atom type (xiabs):   2\
# Energy (eV)   sigma\
  -10.00000000    0.00244002\
   -9.86622074    0.00241720\
   -9.73244147    0.00239600\
   -9.59866221    0.00237640\
   -9.46488294    0.00235839\
   -9.33110368    0.00234197\
   -9.19732441    0.00232712\
   -9.06354515    0.00231384\
   -8.92976589    0.00230214\
   -8.79598662    0.00229201\
   -8.66220736    0.00228349\
   -8.52842809    0.00227658\
   -8.39464883    0.00227130\
   -8.26086957    0.00226770\
   -8.12709030    0.00226579\
   -7.99331104    0.00226563\
   -7.85953177    0.00226726\
   -7.72575251    0.00227074\
   -7.59197324    0.00227614\
   -7.45819398    0.00228354\
   -7.32441472    0.00229301\
   -7.19063545    0.00230467\
   -7.05685619    0.00231862\
   -6.92307692    0.00233498\
   -6.78929766    0.00235391\
   -6.65551839    0.00237557\
   -6.52173913    0.00240013\
   -6.38795987    0.00242780\
   -6.25418060    0.00245881\
   -6.12040134    0.00249339\
   -5.98662207    0.00253182\
   -5.85284281    0.00257436\
   -5.71906355    0.00262128\
   -5.58528428    0.00267283\
   -5.45150502    0.00272922\
   -5.31772575    0.00279057\
   -5.18394649    0.00285694\
   -5.05016722    0.00292825\
   -4.91638796    0.00300434\
   -4.78260870    0.00308499\
   -4.64882943    0.00316997\
   -4.51505017    0.00325922\
   -4.38127090    0.00335298\
   -4.24749164    0.00345197\
   -4.11371237    0.00355746\
   -3.97993311    0.00367121\
   -3.84615385    0.00379527\
   -3.71237458    0.00393182\
   -3.57859532    0.00408307\
   -3.44481605    0.00425124\
   -3.31103679    0.00443863\
   -3.17725753    0.00464768\
   -3.04347826    0.00488110\
   -2.90969900    0.00514198\
   -2.77591973    0.00543389\
   -2.64214047    0.00576099\
   -2.50836120    0.00612815\
   -2.37458194    0.00654108\
   -2.24080268    0.00700646\
   -2.10702341    0.00753204\
   -1.97324415    0.00812680\
   -1.83946488    0.00880101\
   -1.70568562    0.00956628\
   -1.57190635    0.01043552\
   -1.43812709    0.01142264\
   -1.30434783    0.01254220\
   -1.17056856    0.01380856\
   -1.03678930    0.01523478\
   -0.90301003    0.01683082\
   -0.76923077    0.01860065\
   -0.63545151    0.02053749\
   -0.50167224    0.02261638\
   -0.36789298    0.02478445\
   -0.23411371    0.02695119\
   -0.10033445    0.02898391\
    0.03344482    0.03071553\
    0.16722408    0.03196936\
    0.30100334    0.03259828\
    0.43478261    0.03252483\
    0.56856187    0.03176422\
    0.70234114    0.03041905\
    0.83612040    0.02864924\
    0.96989967    0.02663209\
    1.10367893    0.02452820\
    1.23745819    0.02246163\
    1.37123746    0.02051461\
    1.50501672    0.01873193\
    1.63879599    0.01712983\
    1.77257525    0.01570544\
    1.90635452    0.01444520\
    2.04013378    0.01333146\
    2.17391304    0.01234705\
    2.30769231    0.01147754\
    2.44147157    0.01071178\
