{\rtf1\ansi\ansicpg1252\cocoartf2639
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fnil\fcharset0 Menlo-Regular;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\csgray\c0;}
\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx560\tx1120\tx1680\tx2240\tx2800\tx3360\tx3920\tx4480\tx5040\tx5600\tx6160\tx6720\pardirnatural\partightenfactor0

\f0\fs22 \cf2 \CocoaLigature0 # Final state angular momentum:   1\
# Broadening parameter (in eV):    3.000\
# Absorbing atom type (xiabs):   2\
# Energy (eV)   sigma\
  -10.00000000    0.00581796\
   -9.86622074    0.00576516\
   -9.73244147    0.00571571\
   -9.59866221    0.00566958\
   -9.46488294    0.00562674\
   -9.33110368    0.00558715\
   -9.19732441    0.00555080\
   -9.06354515    0.00551767\
   -8.92976589    0.00548774\
   -8.79598662    0.00546102\
   -8.66220736    0.00543751\
   -8.52842809    0.00541721\
   -8.39464883    0.00540015\
   -8.26086957    0.00538635\
   -8.12709030    0.00537583\
   -7.99331104    0.00536863\
   -7.85953177    0.00536481\
   -7.72575251    0.00536440\
   -7.59197324    0.00536747\
   -7.45819398    0.00537408\
   -7.32441472    0.00538430\
   -7.19063545    0.00539823\
   -7.05685619    0.00541595\
   -6.92307692    0.00543756\
   -6.78929766    0.00546316\
   -6.65551839    0.00549288\
   -6.52173913    0.00552684\
   -6.38795987    0.00556518\
   -6.25418060    0.00560805\
   -6.12040134    0.00565560\
   -5.98662207    0.00570801\
   -5.85284281    0.00576546\
   -5.71906355    0.00582814\
   -5.58528428    0.00589627\
   -5.45150502    0.00597007\
   -5.31772575    0.00604978\
   -5.18394649    0.00613567\
   -5.05016722    0.00622802\
   -4.91638796    0.00632714\
   -4.78260870    0.00643334\
   -4.64882943    0.00654699\
   -4.51505017    0.00666846\
   -4.38127090    0.00679814\
   -4.24749164    0.00693647\
   -4.11371237    0.00708388\
   -3.97993311    0.00724084\
   -3.84615385    0.00740783\
   -3.71237458    0.00758535\
   -3.57859532    0.00777388\
   -3.44481605    0.00797394\
   -3.31103679    0.00818600\
   -3.17725753    0.00841052\
   -3.04347826    0.00864794\
   -2.90969900    0.00889862\
   -2.77591973    0.00916287\
   -2.64214047    0.00944089\
   -2.50836120    0.00973276\
   -2.37458194    0.01003840\
   -2.24080268    0.01035752\
   -2.10702341    0.01068963\
   -1.97324415    0.01103394\
   -1.83946488    0.01138934\
   -1.70568562    0.01175433\
   -1.57190635    0.01212705\
   -1.43812709    0.01250514\
   -1.30434783    0.01288579\
   -1.17056856    0.01326570\
   -1.03678930    0.01364112\
   -0.90301003    0.01400784\
   -0.76923077    0.01436129\
   -0.63545151    0.01469664\
   -0.50167224    0.01500895\
   -0.36789298    0.01529331\
   -0.23411371    0.01554505\
   -0.10033445    0.01575990\
    0.03344482    0.01593427\
    0.16722408    0.01606535\
    0.30100334    0.01615129\
    0.43478261    0.01619127\
    0.56856187    0.01618558\
    0.70234114    0.01613556\
    0.83612040    0.01604354\
    0.96989967    0.01591270\
    1.10367893    0.01574696\
    1.23745819    0.01555072\
    1.37123746    0.01532876\
    1.50501672    0.01508601\
    1.63879599    0.01482741\
    1.77257525    0.01455777\
    1.90635452    0.01428165\
    2.04013378    0.01400328\
    2.17391304    0.01372652\
    2.30769231    0.01345480\
    2.44147157    0.01319111\
    2.57525084    0.01293802\
    2.70903010    0.01269768\
    2.84280936    0.01247183\
    2.97658863    0.01226186\
    3.11036789    0.01206882\
    3.24414716    0.01189344\
    3.37792642    0.01173618\
    3.51170569    0.01159724\
    3.64548495    0.01147659\
    3.77926421    0.01137399\
    3.91304348    0.01128896\
    4.04682274    0.01122087\
    4.18060201    0.01116886\
    4.31438127    0.01113190\
    4.44816054    0.01110879\
    4.58193980    0.01109816\
    4.71571906    0.01109845\
    4.84949833    0.01110802\
    4.98327759    0.01112509\
    5.11705686    0.01114782\
    5.25083612    0.01117436\
    5.38461538    0.01120291\
    5.51839465    0.01123177\
    5.65217391    0.01125942\
    5.78595318    0.01128458\
    5.91973244    0.01130626\
    6.05351171    0.01132380\
    6.18729097    0.01133690\
    6.32107023    0.01134561\
    6.45484950    0.01135029\
    6.58862876    0.01135158\
    6.72240803    0.01135034\
    6.85618729    0.01134754\
    6.98996656    0.01134421\
    7.12374582    0.01134132\
    7.25752508    0.01133974\
    7.39130435    0.01134014\
    7.52508361    0.01134293\
    7.65886288    0.01134827\
    7.79264214    0.01135600\
    7.92642140    0.01136567\
    8.06020067    0.01137655\
    8.19397993    0.01138767\
    8.32775920    0.01139790\
    8.46153846    0.01140597\
    8.59531773    0.01141064\
    8.72909699    0.01141071\
    8.86287625    0.01140514\
    8.99665552    0.01139314\
    9.13043478    0.01137424\
    9.26421405    0.01134830\
    9.39799331    0.01131558\
    9.53177258    0.01127669\
    9.66555184    0.01123258\
    9.79933110    0.01118451\
    9.93311037    0.01113390\
   10.06688963    0.01108236\
   10.20066890    0.01103150\
   10.33444816    0.01098291\
   10.46822742    0.01093807\
   10.60200669    0.01089826\
   10.73578595    0.01086456\
   10.86956522    0.01083775\
   11.00334448    0.01081829\
   11.13712375    0.01080635\
   11.27090301    0.01080175\
   11.40468227    0.01080399\
   11.53846154    0.01081227\
   11.67224080    0.01082551\
   11.80602007    0.01084240\
   11.93979933    0.01086145\
   12.07357860    0.01088106\
   12.20735786    0.01089960\
   12.34113712    0.01091549\
   12.47491639    0.01092730\
   12.60869565    0.01093381\
   12.74247492    0.01093411\
   12.87625418    0.01092763\
   13.01003344    0.01091419\
   13.14381271    0.01089402\
   13.27759197    0.01086770\
   13.41137124    0.01083616\
   13.54515050    0.01080059\
   13.67892977    0.01076239\
   13.81270903    0.01072302\
   13.94648829    0.01068399\
   14.08026756    0.01064672\
   14.21404682    0.01061248\
   14.34782609    0.01058233\
   14.48160535    0.01055705\
   14.61538462    0.01053712\
   14.74916388    0.01052270\
   14.88294314    0.01051359\
   15.01672241    0.01050927\
   15.15050167    0.01050891\
   15.28428094    0.01051138\
   15.41806020    0.01051534\
   15.55183946    0.01051928\
   15.68561873    0.01052157\
   15.81939799    0.01052062\
   15.95317726    0.01051489\
   16.08695652    0.01050303\
   16.22073579    0.01048396\
   16.35451505    0.01045693\
   16.48829431    0.01042156\
   16.62207358    0.01037792\
   16.75585284    0.01032647\
